"fold","id","truth","response","precision_error"
1,11,7.886,7.783482,1.3
1,12,7.959,7.855533,1.3
1,13,6.678,6.591186,1.30000000000001
1,21,8.079,7.973973,1.3
1,35,8.137,8.031219,1.3
1,36,7.854,7.751898,1.3
1,41,5.2,5.1324,1.29999999999999
1,58,6.328,6.245736,1.30000000000001
1,61,7.536,7.438032,1.3
1,88,7.699,7.598913,1.3
1,91,7.347,7.251489,1.3
1,116,6,5.922,1.3
2,2,8.699,8.585913,1.3
2,17,8.143,8.037141,1.30000000000001
2,24,7.569,7.470603,1.3
2,29,7.495,7.397565,1.3
2,44,6.244,6.162828,1.30000000000001
2,46,8.796,8.681652,1.3
2,60,6.854,6.764898,1.30000000000001
2,78,7.602,7.503174,1.3
2,79,5.699,5.624913,1.30000000000001
2,98,8.387,8.277969,1.3
2,112,7.77,7.66899,1.30000000000001
2,118,7.796,7.694652,1.3
2,126,5.7,5.6259,1.30000000000001
3,18,8.387,8.277969,1.3
3,32,7.745,7.644315,1.3
3,43,5,4.935,1.30000000000001
3,45,7.523,7.425201,1.3
3,54,8.086,7.980882,1.3
3,57,6.284,6.202308,1.30000000000001
3,66,7.75,7.64925,1.3
3,70,5.5,5.4285,1.30000000000001
3,74,6,5.922,1.3
3,99,7.87,7.76769,1.3
3,105,7.921,7.818027,1.30000000000001
3,114,5.143,5.076141,1.3
4,3,7.125,7.032375,1.3
4,7,7.886,7.783482,1.3
4,9,8.013,7.908831,1.3
4,22,7.456,7.359072,1.3
4,26,7.923,7.820001,1.30000000000001
4,50,9.301,9.180087,1.3
4,51,7.038,6.946506,1.3
4,68,5,4.935,1.30000000000001
4,69,5,4.935,1.30000000000001
4,77,5,4.935,1.30000000000001
4,103,7.699,7.598913,1.3
4,106,7.678,7.578186,1.3
4,121,5.5,5.4285,1.30000000000001
5,5,8.42,8.31054,1.3
5,28,7.523,7.425201,1.3
5,33,8.328,8.219736,1.3
5,34,7.602,7.503174,1.3
5,56,8.409,8.299683,1.30000000000001
5,63,8.046,7.941402,1.3
5,67,7.538,7.440006,1.3
5,73,5.42,5.34954,1.3
5,82,7.854,7.751898,1.3
5,83,8.125,8.019375,1.3
5,95,8.154,8.047998,1.3
5,102,5.1,5.0337,1.3
5,123,8.409,8.299683,1.30000000000001
6,8,7.678,7.578186,1.3
6,37,7.886,7.783482,1.3
6,39,5,4.935,1.30000000000001
6,40,5.3,5.2311,1.3
6,47,5,4.935,1.30000000000001
6,64,5,4.935,1.30000000000001
6,87,7.721,7.620627,1.3
6,90,7.959,7.855533,1.3
6,93,5,4.935,1.30000000000001
6,94,5.5,5.4285,1.30000000000001
6,107,8.42,8.31054,1.3
6,120,7.91,7.80717,1.3
7,20,7.469,7.371903,1.3
7,23,6.77,6.68199,1.3
7,27,7.377,7.281099,1.30000000000001
7,30,7.721,7.620627,1.3
7,31,7.959,7.855533,1.3
7,48,5,4.935,1.30000000000001
7,53,7.18,7.08666,1.30000000000001
7,59,7.544,7.445928,1.3
7,72,6.5,6.4155,1.3
7,92,8.602,8.490174,1.30000000000001
7,109,7.444,7.347228,1.30000000000001
7,119,8.569,8.457603,1.3
7,125,5,4.935,1.30000000000001
8,4,7.959,7.855533,1.3
8,14,6.658,6.571446,1.30000000000001
8,25,7.921,7.818027,1.30000000000001
8,38,7.959,7.855533,1.3
8,42,7.328,7.232736,1.3
8,55,5,4.935,1.30000000000001
8,62,6,5.922,1.3
8,65,5,4.935,1.30000000000001
8,76,6.6,6.5142,1.3
8,85,7.824,7.722288,1.3
8,97,8.658,8.545446,1.29999999999999
8,100,7.163,7.069881,1.3
8,124,6.114,6.034518,1.30000000000001
9,10,8.119,8.013453,1.3
9,16,7.721,7.620627,1.3
9,19,8.114,8.008518,1.3
9,71,6.7,6.6129,1.30000000000001
9,81,7,6.909,1.3
