"fold","id","truth","response","precision_error"
1,11,7.886,7.673078,2.7
1,12,7.959,7.744107,2.7
1,13,6.678,6.497694,2.7
1,21,8.079,7.860867,2.7
1,35,8.137,7.917301,2.7
1,36,7.854,7.641942,2.7
1,41,5.2,5.0596,2.70000000000001
1,58,6.328,6.157144,2.70000000000001
1,61,7.536,7.332528,2.70000000000001
1,88,7.699,7.491127,2.7
1,91,7.347,7.148631,2.70000000000001
1,116,6,5.838,2.7
2,2,8.699,8.464127,2.7
2,17,8.143,7.923139,2.7
2,24,7.569,7.364637,2.7
2,29,7.495,7.292635,2.7
2,44,6.244,6.075412,2.7
2,46,8.796,8.558508,2.7
2,60,6.854,6.668942,2.70000000000001
2,78,7.602,7.396746,2.7
2,79,5.699,5.545127,2.7
2,98,8.387,8.160551,2.70000000000001
2,112,7.77,7.56021,2.7
2,118,7.796,7.585508,2.7
2,126,5.7,5.5461,2.7
3,18,8.387,8.160551,2.70000000000001
3,32,7.745,7.535885,2.70000000000001
3,43,5,4.865,2.7
3,45,7.523,7.319879,2.7
3,54,8.086,7.867678,2.70000000000001
3,57,6.284,6.114332,2.7
3,66,7.75,7.54075,2.7
3,70,5.5,5.3515,2.70000000000001
3,74,6,5.838,2.7
3,99,7.87,7.65751,2.7
3,105,7.921,7.707133,2.70000000000001
3,114,5.143,5.004139,2.70000000000001
4,3,7.125,6.932625,2.7
4,7,7.886,7.673078,2.7
4,9,8.013,7.796649,2.70000000000001
4,22,7.456,7.254688,2.70000000000001
4,26,7.923,7.709079,2.7
4,50,9.301,9.049873,2.7
4,51,7.038,6.847974,2.70000000000001
4,68,5,4.865,2.7
4,69,5,4.865,2.7
4,77,5,4.865,2.7
4,103,7.699,7.491127,2.7
4,106,7.678,7.470694,2.7
4,121,5.5,5.3515,2.70000000000001
5,5,8.42,8.19266,2.7
5,28,7.523,7.319879,2.7
5,33,8.328,8.103144,2.70000000000001
5,34,7.602,7.396746,2.7
5,56,8.409,8.181957,2.7
5,63,8.046,7.828758,2.70000000000001
5,67,7.538,7.334474,2.7
5,73,5.42,5.27366,2.70000000000001
5,82,7.854,7.641942,2.7
5,83,8.125,7.905625,2.7
5,95,8.154,7.933842,2.70000000000001
5,102,5.1,4.9623,2.69999999999999
5,123,8.409,8.181957,2.7
6,8,7.678,7.470694,2.7
6,37,7.886,7.673078,2.7
6,39,5,4.865,2.7
6,40,5.3,5.1569,2.70000000000001
6,47,5,4.865,2.7
6,64,5,4.865,2.7
6,87,7.721,7.512533,2.70000000000001
6,90,7.959,7.744107,2.7
6,93,5,4.865,2.7
6,94,5.5,5.3515,2.70000000000001
6,107,8.42,8.19266,2.7
6,120,7.91,7.69643,2.7
7,20,7.469,7.267337,2.7
7,23,6.77,6.58721,2.7
7,27,7.377,7.177821,2.7
7,30,7.721,7.512533,2.70000000000001
7,31,7.959,7.744107,2.7
7,48,5,4.865,2.7
7,53,7.18,6.98614,2.7
7,59,7.544,7.340312,2.70000000000001
