flow,rows_id,fold
ada,disclosure_x_noise_task-3692,1
ada,fri_c0_250_25_task-3639,2
ada,banknote-authentication_task-10093,3
ada,vowel_task-3879,4
ada,fri_c4_250_10_task-3727,5
ada,pwLinear_task-3587,6
ada,ada_agnostic_task-3896,7
ada,kdd_synthetic_control_task-3867,8
ada,fri_c3_1000_25_task-3581,9
ada,fri_c2_1000_25_task-3766,10
ada,fri_c3_500_25_task-3759,1
ada,auto_price_task-3611,2
ada,chscase_census2_task-3772,3
ada,boston_corrected_task-3690,4
ada,kc1-binary_task-3916,5
ada,bank8FM_task-3591,6
ada,kc3_task-3915,7
ada,fri_c0_500_10_task-3806,8
ada,fri_c4_1000_10_task-3617,9
ada,fri_c3_100_5_task-3779,10
ada,arsenic-male-bladder_task-3810,1
ada,prnn_crabs_task-3539,2
ada,analcatdata_apnea2_task-3631,3
ada,fri_c3_500_10_task-3799,4
ada,bank32nh_task-3698,5
ada,analcatdata_seropositive_task-3784,6
ada,climate-model-simulation-crashes_task-9980,7
ada,fri_c1_100_50_task-3740,8
ada,fri_c1_250_10_task-3798,9
ada,jEdit_4.2_4.3_task-3901,10
ada,chatfield_4_task-3685,1
ada,chscase_census4_task-3770,2
ada,disclosure_x_bias_task-3640,3
ada,qsar-biodeg_task-9957,4
ada,CastMetal1_task-10096,5
ada,hill-valley_task-9893,6
ada,planning-relax_task-9953,7
ada,fri_c1_500_5_task-3734,8
ada,fri_c3_250_5_task-3610,9
ada,wholesale-customers_task-9988,10
ada,pendigits_task-3882,1
ada,fri_c1_1000_5_task-3609,2
ada,Amazon_employee_access_task-9911,3
ada,acute-inflammations_task-10089,4
ada,stock_task-3706,5
ada,pm10_task-3616,6
ada,abalone_task-3586,7
ada,blood-transfusion-service-center_task-10101,8
ada,fri_c3_250_10_task-3658,9
ada,mfeat-factors_task-3841,10
ada,fri_c1_1000_25_task-3780,1
ada,analcatdata_wildcat_task-3614,2
ada,chscase_geyser1_task-3758,3
ada,grub-damage_task-3888,4
ada,fri_c4_500_50_task-3670,5
ada,BNG(tic-tac-toe)_task-206,6
ada,fri_c4_500_100_task-3608,7
ada,fri_c4_1000_50_task-3662,8
ada,analcatdata_creditscore_task-3552,9
ada,quake_task-3811,10
