"id","truth","response","precision_error"
11,7.886,7.7731232293133,1.43135646318407
12,7.959,7.80692448540587,1.91073645676756
13,6.678,7.56434148373366,13.2725589058649
21,8.079,7.89464317663567,2.28192627013657
35,8.137,7.86028720208896,3.40067344120738
36,7.854,7.60570681402326,3.16135963810462
41,5.2,5.6495768705533,8.64570904910189
58,6.328,7.39720360593588,16.8963907385569
61,7.536,7.40296057919905,1.76538509555406
88,7.699,7.70228112471772,0.0426175440669643
91,7.347,7.53945592028802,2.6195170857223
116,6,5.99598213521786,0.0669644130356269
2,8.699,8.20169035985676,5.71685987059703
17,8.143,7.88979029458782,3.10953832017911
24,7.569,7.80756296146274,3.15184253484924
29,7.495,7.72314766179572,3.04399815604703
44,6.244,6.9629238448639,11.5138347992296
46,8.796,8.1519041859522,7.32259906830154
60,6.854,7.04364601209473,2.76693919017696
78,7.602,7.58018332754177,0.286985957093204
79,5.699,7.22553446196444,26.78600564949
98,8.387,7.64380507128585,8.86127254935201
112,7.77,7.22445727194958,7.02114193115087
118,7.796,8.01140945226892,2.76307660683578
126,5.7,6.19806677090008,8.73801352456278
18,8.387,7.71875132715792,7.96767226472017
32,7.745,7.56604852563796,2.31054195431945
43,5,5.3594728382696,7.18945676539203
45,7.523,7.27055007107345,3.35570821383156
54,8.086,8.08381639811912,0.0270047227415267
57,6.284,7.50313785818419,19.4006661073232
66,7.75,7.59786922610144,1.9629777277233
70,5.5,5.478171482209,0.396882141654619
74,6,6.43326779328416,7.22112988806926
99,7.87,7.21548352202097,8.31660073670946
105,7.921,7.92231490012646,0.0166001783418461
114,5.143,6.67630672206179,29.8134692215008
3,7.125,7.59893060955023,6.65165767789799
7,7.886,7.71033822838484,2.2275142228653
9,8.013,7.75430599540676,3.22842886051721
22,7.456,7.54694537208832,1.21976089174255
26,7.923,7.76137793022142,2.03991000604037
50,9.301,8.13851827757892,12.498459546512
51,7.038,7.08967106170762,0.734172516448179
68,5,6.30365792275225,26.0731584550451
69,5,6.2705908792951,25.411817585902
77,5,6.67184333273472,33.4368666546943
103,7.699,7.67573433837058,0.302190695277592
106,7.678,7.67573433837058,0.0295084869682453
121,5.5,7.54662292147489,37.211325844998
5,8.42,7.90851153780457,6.0746848241738
28,7.523,7.71349930954104,2.53222530295154
33,8.328,7.38587523187599,11.3127373694045
34,7.602,7.82243562417128,2.89970565865933
56,8.409,7.50761832269742,10.7192493435911
63,8.046,7.08917710902402,11.8919076681081
67,7.538,6.09216957596535,19.1805574958165
73,5.42,6.60425939439519,21.8498043246345
82,7.854,7.71421336924226,1.77981449907995
83,8.125,7.35241730465499,9.50871009655391
95,8.154,7.9448720059271,2.56472889468846
102,5.1,5.73173248096001,12.3869113913727
123,8.409,6.33908635521783,24.6154554023329
8,7.678,7.43034039405864,3.22557444570675
37,7.886,7.69033407089773,2.48118094220476
39,5,5.28832793914949,5.7665587829899
40,5.3,5.45591787287965,2.94184665810664
47,5,5.87104866263907,17.4209732527813
64,5,5.89090440257266,17.8180880514533
87,7.721,7.82425321665913,1.33730367386518
90,7.959,7.6400953314181,4.00684342985174
93,5,5.77194841903496,15.4389683806992
94,5.5,5.47890493121298,0.383546705218504
107,8.42,8.10078167881694,3.79119146298175
120,7.91,7.66161922916571,3.1400855984107
20,7.469,7.71951536360579,3.35406833051002
23,6.77,7.73559249097975,14.2628137515473
27,7.377,7.90289899271513,7.12890053836423
30,7.721,7.76484828872389,0.567909451157737
31,7.959,7.90239073061799,0.711261080311688
48,5,5.42228078811189,8.4456157622378
53,7.18,7.27519992557157,1.32590425587142
59,7.544,7.33603004760508,2.75675970831018
72,6.5,6.30307825101842,3.02956536894735
92,8.602,7.91754011743112,7.95698538210747
109,7.444,7.68484177582167,3.23538119051149
119,8.569,7.6916558611504,10.238582551635
125,5,5.25451842660738,5.0903685321475
4,7.959,7.9265904752026,0.407205990669689
14,6.658,7.37606761499098,10.7850347700658
25,7.921,7.88581548951396,0.444192784825634
38,7.959,7.88838015936677,0.887295396824125
