target_id,dataset_id_rdkit,dataset_id,n_rows,pref_name,organism
CHEMBL1075021,1,30543,35,DNA gyrase subunit B,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
CHEMBL1075022,2,30544,35,ParE,Streptococcus pneumoniae
CHEMBL1075024,4,30545,42,Enoyl-(Acyl-carrier-protein) reductase,Streptococcus pneumoniae
CHEMBL1075025,5,30546,32,Undecaprenyl pyrophosphate synthase,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
CHEMBL1075028,7,30587,44,Alpha carbonic anhydrase,Stylophora pistillata
CHEMBL1075029,8,30558,32,A1 adenosine receptor,Sus scrofa
CHEMBL1075036,14,30564,33,Yersiniabactin siderophore biosynthetic protein,Yersinia pestis CA88-4125
CHEMBL1075051,25,30657,146,Dihydrofolate reductase,Bos taurus
CHEMBL1075069,38,30577,34,RmtA,Emericella nidulans
CHEMBL1075097,54,30555,35,Arginase-1,Homo sapiens
CHEMBL1075104,60,30772,538,Leucine-rich repeat serine/threonine-protein kinase 2,Homo sapiens
CHEMBL1075108,62,30565,53,Solute carrier family 12 member 5,Rattus norvegicus
CHEMBL1075111,65,30566,39,Bombesin receptor subtype-3,Rattus norvegicus
CHEMBL1075115,67,30789,541,Dual specificity tyrosine-phosphorylation-regulated kinase 4,Homo sapiens
CHEMBL1075133,76,30613,74,G protein-coupled receptor kinase 7,Homo sapiens
CHEMBL1075134,77,30557,30,Serine/threonine-protein kinase mTOR,Rattus norvegicus
CHEMBL1075138,80,30592,83,Tyrosyl-DNA phosphodiesterase 1,Homo sapiens
CHEMBL1075140,81,30599,150,Bombesin receptor subtype-3,Mus musculus
CHEMBL1075145,83,30663,209,Transitional endoplasmic reticulum ATPase,Homo sapiens
CHEMBL1075146,84,30573,43,Pseudolysin,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)
CHEMBL1075155,89,30620,73,Serine/threonine-protein kinase 38,Homo sapiens
CHEMBL1075165,130,30583,45,Phosphatidylinositol 3-kinase catalytic subunit type 3,Homo sapiens
CHEMBL1075167,132,30796,664,Homeodomain-interacting protein kinase 4,Homo sapiens
CHEMBL1075189,147,30584,79,Pyruvate kinase isozymes M1/M2,Homo sapiens
CHEMBL1075195,153,30621,73,Serine/threonine-protein kinase TAO2,Homo sapiens
CHEMBL1075214,166,30597,44,5'-nucleotidase,Rattus norvegicus
CHEMBL1075228,174,30690,212,Melanin-concentrating hormone receptor 1,Rattus norvegicus
CHEMBL1075246,184,30575,31,Xanthine dehydrogenase/oxidase,Rattus norvegicus
CHEMBL1075257,193,30684,205,Large T antigen,Simian virus 40
CHEMBL1075261,194,30590,42,Legumain-like protease,Ixodes ricinus
CHEMBL1075269,201,30596,34,Adenosine A3 receptor,Mus musculus
CHEMBL1075280,209,30593,67,Dual specificity protein kinase CLK1,Mus musculus
CHEMBL1075282,211,30585,40,Dual specificity protein kinase CLK3,Mus musculus
CHEMBL1075284,213,30600,60,Diacylglycerol O-acyltransferase 1,Mus musculus
CHEMBL1075294,218,30604,50,"Indoleamine 2,3-dioxygenase 1",Mus musculus
CHEMBL1075305,261,30589,36,Sphingosine kinase 2,Mus musculus
CHEMBL1075307,263,30603,84,"Tryptophan 2,3-dioxygenase",Mus musculus
CHEMBL1075317,270,30601,69,WD repeat-containing protein 5,Homo sapiens
CHEMBL1075322,274,30797,666,G-protein coupled receptor 55,Homo sapiens
CHEMBL1163101,276,30616,74,Serine/threonine-protein kinase/endoribonuclease IRE1,Homo sapiens
CHEMBL1163104,279,30623,73,Serine/threonine-protein kinase OSR1,Homo sapiens
CHEMBL1163106,280,30619,73,Serine/threonine-protein kinase MAK,Homo sapiens
CHEMBL1163108,282,30618,73,STE20/SPS1-related proline-alanine-rich protein kinase,Homo sapiens
CHEMBL1163111,284,30608,72,Interleukin-5,Mus musculus
CHEMBL1163112,285,30610,74,Cyclin-dependent kinase-like 5,Homo sapiens
CHEMBL1163113,286,30602,42,Serpin H1,Mus musculus
CHEMBL1163116,288,30694,121,Cholesteryl ester transfer protein,Oryctolagus cuniculus
CHEMBL1163117,289,30614,73,Cyclin-dependent kinase-like 3,Homo sapiens
CHEMBL1163120,291,30615,75,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit gamma,Homo sapiens
CHEMBL1163123,294,30611,74,Mitogen-activated protein kinase kinase kinase 6,Homo sapiens
CHEMBL1163124,295,30609,73,Mitogen-activated protein kinase kinase kinase 13,Homo sapiens
CHEMBL1163125,296,30641,127,Bromodomain-containing protein 4,Homo sapiens
CHEMBL1163126,297,30624,74,Serine/threonine-protein kinase ICK,Homo sapiens
CHEMBL1163127,298,30612,73,Mitogen-activated protein kinase kinase kinase 15,Homo sapiens
CHEMBL1163128,299,30625,73,Microtubule-associated serine/threonine-protein kinase 1,Homo sapiens
CHEMBL1163129,300,30617,72,Serine/threonine-protein kinase SBK1,Homo sapiens
CHEMBL1169598,307,30656,88,Polymerase acidic protein,Influenza A virus (A/Puerto Rico/8/1934(H1N1))
CHEMBL1250368,323,30628,31,Enoyl-acyl carrier reductase,Toxoplasma gondii
CHEMBL1250375,325,30661,110,NADPH oxidase 4,Homo sapiens
CHEMBL1250381,328,30629,31,Dual specificity protein phosphatase 6,Homo sapiens
CHEMBL1250417,337,30637,34,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,Homo sapiens
CHEMBL1255126,343,30638,32,Protein Mdm4,Homo sapiens
CHEMBL1255139,346,30667,42,Ras-related protein Rap-1A,Homo sapiens
CHEMBL1255149,386,30672,142,Lysosomal Pro-X carboxypeptidase,Mus musculus
CHEMBL1255150,387,30645,47,G-protein coupled bile acid receptor 1,Mus musculus
CHEMBL1255164,393,30643,63,Probable protein-cysteine N-palmitoyltransferase porcupine,Mus musculus
CHEMBL1255165,394,30653,73,Serine/threonine-protein kinase mTOR,Mus musculus
CHEMBL1275209,396,30654,31,PH domain leucine-rich repeat-containing protein phosphatase 2,Homo sapiens
CHEMBL1275212,399,30660,108,Ketohexokinase,Homo sapiens
CHEMBL1275217,403,30646,30,C-C motif chemokine 5,Homo sapiens
CHEMBL1275223,406,30671,50,Heat shock cognate 71 kDa protein,Homo sapiens
CHEMBL1287620,418,30665,32,Fructose-bisphosphate aldolase,Mycobacterium tuberculosis
CHEMBL1287628,426,30696,195,NADPH oxidase 1,Homo sapiens
CHEMBL1293191,430,30670,38,Transcriptional regulator ERG,Homo sapiens
CHEMBL1293222,441,30743,346,Nucleotide-binding oligomerization domain-containing protein 1,Homo sapiens
CHEMBL1293224,442,30668,30,Microtubule-associated protein tau,Homo sapiens
CHEMBL1293228,444,31569,2991,Streptokinase A,Streptococcus pyogenes serotype M1
CHEMBL1293229,445,30707,281,Nuclear receptor subfamily 4 group A member 1,Homo sapiens
CHEMBL1293239,446,30765,499,Bcl-2-related protein A1,Mus musculus
CHEMBL1293240,447,30675,81,Plectin,Homo sapiens
CHEMBL1293243,448,30712,265,MCOLN3 protein,Homo sapiens
CHEMBL1293244,449,30697,214,Beta-lactamase,Pseudomonas aeruginosa
CHEMBL1293245,450,30713,265,Ion channel NompC,Danio rerio
CHEMBL1293246,451,30793,583,Beta Lactamase,Pseudomonas aeruginosa
CHEMBL1293249,452,30680,122,Kruppel-like factor 5,Homo sapiens
CHEMBL1293251,453,30889,1155,ATP-dependent molecular chaperone HSP82,Candida albicans (strain WO-1) (Yeast)
CHEMBL1293255,454,30677,38,15-hydroxyprostaglandin dehydrogenase [NAD+],Homo sapiens
CHEMBL1293258,456,30674,63,Mothers against decapentaplegic homolog 3,Homo sapiens
CHEMBL1293259,457,30678,134,Ephrin type-A receptor 4,Mus musculus
CHEMBL1293260,458,30692,179,Beta-lactamase,Salmonella choleraesuis (strain SC-B67)
CHEMBL1293263,459,30704,242,M18 aspartyl aminopeptidase,Plasmodium falciparum 3D7
CHEMBL1293264,460,30879,1086,Beta-galactosidase,Escherichia coli
CHEMBL1293265,461,30679,127,Serine/threonine-protein phosphatase,Homo sapiens
CHEMBL1293266,462,30753,516,Nucleotide-binding oligomerization domain-containing protein 2,Homo sapiens
CHEMBL1293267,463,30742,334,G-protein coupled receptor 35,Homo sapiens
CHEMBL1293269,464,30681,122,NS3,Hepatitis C virus
CHEMBL1293274,467,30705,224,Eukaryotic translation initiation factor 4H,Homo sapiens
CHEMBL1293281,469,30685,120,Epstein-Barr nuclear antigen 1,Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)
CHEMBL1293282,470,30688,77,Protein Rev,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1)
CHEMBL1293286,473,30946,1408,Polyadenylate-binding protein 1,Homo sapiens
CHEMBL1293287,509,30760,369,Insulin-degrading enzyme,Homo sapiens
