openml_task,flow,area_under_roc_curve,NumberOfBinaryFeatures,MajorityClassSize,PercentageOfInstancesWithMissingValues,NumberOfInstances,NumberOfClasses,NumberOfInstancesWithMissingValues,NumberOfSymbolicFeatures,PercentageOfMissingValues,NumberOfFeatures,MinorityClassSize,PercentageOfBinaryFeatures,Dimensionality,PercentageOfNumericFeatures,NumberOfMissingValues,PercentageOfSymbolicFeatures,MajorityClassPercentage,NumberOfNumericFeatures
anneal_task-1,avNNet,0.522177,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,boosting,0.996498,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,cforest,0.651869,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,ctree,0.954639,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,gbm,0.916059,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,glmnet,0.97935,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,IBk,0.985987,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,J48,0.978266,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,JRip,0.977601,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,kknn,0.953552,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,ksvm,0.97772,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,multinom,0.991038,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,naiveBayes,0.640139,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,nnet,0.559329,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,OneR,0.656542,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,PART,0.978917,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,randomForest,0.990574,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,randomForestSRC,0.990574,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,ranger,0.989322,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,rda,0.700152,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,rpart,0.981941,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,svm,0.932578,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
anneal_task-1,xgboost,0.976455,19,684,0,898,5,0,33,0,39,8,0.48717948717948717,0.043429844097995544,0.15384615384615385,0,0.8461538461538461,0.7616926503340757,6
kr-vs-kp_task-3,ada,0.994029,35,1669,0,3196,2,0,37,0,37,1527,0.9459459459459459,0.011576971214017523,0,0,1,0.522215269086358,0
kr-vs-kp_task-3,avNNet,0.988881,35,1669,0,3196,2,0,37,0,37,1527,0.9459459459459459,0.011576971214017523,0,0,1,0.522215269086358,0
kr-vs-kp_task-3,boosting,0.996537,35,1669,0,3196,2,0,37,0,37,1527,0.9459459459459459,0.011576971214017523,0,0,1,0.522215269086358,0
kr-vs-kp_task-3,cforest,0.952619,35,1669,0,3196,2,0,37,0,37,1527,0.9459459459459459,0.011576971214017523,0,0,1,0.522215269086358,0
kr-vs-kp_task-3,ctree,0.981977,35,1669,0,3196,2,0,37,0,37,1527,0.9459459459459459,0.011576971214017523,0,0,1,0.522215269086358,0
